make;model;year;mileage;engine_power;fuel_type;gearbox;price
bmw;seria-5;2022;84000;252;petrol;automatic;169900
renault;megane;2023;21363;140;petrol;manual;64900
kia;ceed;2010;170000;90;petrol;manual;16900
toyota;yaris;2025;11715;116;hybrid;automatic;96900
opel;grandland-x;2018;43000;130;petrol;manual;33333
ford;kuga;2015;303800;163;diesel;manual;35900
kia;stonic;2021;87500;100;petrol;automatic;55900
hyundai;i30;2025;22981;140;petrol;automatic;106900
nissan;qashqai;2024;10000;158;petrol;automatic;129000
toyota;yaris;2025;12498;116;hybrid;automatic;92800
audi;q5;2021;116860;204;diesel;automatic;134900
porsche;911;2000;126000;300;petrol;automatic;89000
bmw;ix1;2024;13300;306;electric;automatic;199900
toyota;corolla;2019;99972;122;hybrid;automatic;81900
volvo;xc-60;2017;197475;190;diesel;automatic;90900
skoda;octavia;2009;302000;140;diesel;automatic;15000
mercedes-benz;gls;2017;250000;258;diesel;automatic;169000
volvo;c-40;2024;26600;252;electric;automatic;177900
ds-automobiles;ds-7-crossback;2018;137000;130;diesel;manual;75900
opel;mokka;2018;87000;110;diesel;manual;52999
kia;stinger;2021;135000;366;petrol;automatic;170900
volkswagen;eos;2007;137819;150;petrol;manual;14999
seat;ibiza;2012;177500;70;petrol;manual;14900
lexus;is;2013;224000;220;hybrid;automatic;62000
skoda;fabia;2013;189379;60;petrol;manual;12700
volkswagen;tiguan;2022;69882;200;diesel;automatic;144900
ford;focus;2017;174260;125;petrol;manual;23900
audi;a6-avant;2018;188144;204;diesel;automatic;84000
opel;insignia;2018;229434;136;diesel;automatic;33900
opel;mokka-x;2017;139660;140;petrol;manual;48900
volkswagen;golf;2009;343000;110;diesel;manual;11700
mercedes-benz;gls;2020;142640;330;diesel;automatic;175900
ford;c-max;2012;214000;115;diesel;manual;20900
volvo;xc-40;2018;121100;190;petrol;automatic;112000
mercedes-benz;klasa-b;2018;64730;156;petrol;automatic;29900
seat;ateca;2017;141000;115;diesel;manual;41900
volvo;xc-40;2024;18903;197;petrol;automatic;176990
lexus;nx;2018;101880;197;hybrid;automatic;75900
hyundai;tucson;2017;131500;115;diesel;manual;57000
opel;grandland-x;2019;76000;130;petrol;manual;54900
volkswagen;passat;2020;149058;150;diesel;automatic;78500
ford;transit-custom;2021;147570;130;diesel;manual;65900
citroen;berlingo;2012;148000;112;diesel;manual;9000
mercedes-benz;klasa-c;2016;221091;170;diesel;automatic;48900
toyota;corolla;2021;97250;184;hybrid;automatic;56900
skoda;karoq;2024;31000;190;petrol;automatic;160000
kia;ceed;2008;221110;90;diesel;manual;10900
skoda;octavia;2023;93387;150;diesel;automatic;89900
audi;a4-cabrio;2007;279800;140;diesel;automatic;18900
hyundai;ix35;2014;102000;116;diesel;manual;41900
toyota;auris;2017;110300;136;hybrid;automatic;35900
renault;kadjar;2018;80690;110;diesel;automatic;56500
hyundai;i20;2023;43000;100;petrol;manual;57700
skoda;octavia;2021;149950;150;diesel;automatic;65900
volvo;xc-40;2024;40296;163;petrol;automatic;157999
fiat;500;2016;56550;69;petrol;manual;31900
ford;focus;2016;246000;125;petrol;manual;26500
volkswagen;passat;2025;19193;150;petrol;automatic;154900
lexus;lbx;2024;24850;136;hybrid;automatic;129500
mini;one;2015;145000;75;petrol;manual;30900
volkswagen;tiguan;2020;196200;150;diesel;automatic;76900
mercedes-benz;klasa-c;2017;162000;367;petrol;automatic;114000
ford;focus;2008;238198;80;petrol;manual;12900
peugeot;508;2024;25300;225;plugin-hybrid;automatic;109900
seat;ibiza-st;2011;106000;105;petrol;manual;15500
audi;a6-allroad;2013;295490;313;diesel;automatic;52900
mini;cooper-s;2010;149800;184;petrol;manual;19000
kia;sportage;2025;18966;160;petrol;automatic;136900
renault;captur;2015;101000;90;petrol;manual;27900
volvo;xc-40;2025;17641;163;petrol;automatic;149900
citroen;berlingo;2020;118000;102;diesel;manual;57900
renault;scenic;2010;182458;110;petrol;manual;20900
audi;a3-3-drzwiowe;2010;149251;125;petrol;manual;23900
toyota;corolla;2021;140000;122;hybrid;automatic;69900
toyota;camry;2021;92000;218;hybrid;automatic;99900
skoda;kodiaq;2023;33231;200;diesel;automatic;159900
volvo;xc-40;2025;18661;163;petrol;automatic;162900
volvo;xc-60;2023;61240;197;petrol;automatic;174900
toyota;aygo-x;2023;19000;72;petrol;manual;64900
maserati;levante;2017;144969;430;petrol;automatic;134500
opel;insignia;2011;184555;140;petrol;manual;21900
opel;insignia;2012;245017;140;petrol;manual;19900
dodge;charger;2022;38000;421;petrol;automatic;149000
peugeot;3008;2022;130000;130;diesel;automatic;79900
renault;megane;2018;140516;114;petrol-lpg;manual;38500
ford;fiesta;2018;111000;70;petrol;manual;13000
kia;ceed;2022;58620;160;petrol;manual;72000
bmw;seria-3;1992;27500;170;petrol;automatic;89000
fiat;500;2023;26941;70;petrol;manual;64400
fiat;500;2023;29735;70;petrol;manual;64400
alfa-romeo;stelvio;2023;50000;280;petrol;automatic;189700
fiat;500;2023;25870;70;petrol;manual;64400
peugeot;3008;2017;169751;180;diesel;automatic;76900
volvo;xc-60;2023;54134;197;petrol;automatic;164900
mercedes-benz;sl;1997;29070;231;petrol;automatic;169000
audi;a4-limousine;2012;248000;170;petrol;automatic;29500
audi;q5;2021;64636;204;diesel;automatic;144800
hyundai;tucson;2022;135550;180;petrol;automatic;73500
renault;laguna;2010;224942;110;diesel;manual;15900
kia;sportage;2022;130000;230;hybrid;automatic;94800
nissan;qashqai;2014;82995;116;petrol;manual;25900
volvo;xc-60;2020;31584;197;petrol;automatic;149900
peugeot;5008;2018;105384;120;diesel;automatic;72900
opel;mokka;2017;79000;115;petrol;manual;49700
hyundai;inster;2025;13100;115;electric;automatic;99900
peugeot;3008;2013;265000;163;diesel;automatic;19900
kia;picanto;2023;13900;84;petrol;manual;54900
bmw;seria-3;2020;252000;156;petrol;automatic;82000
volkswagen;golf;2023;41153;130;petrol;manual;81900
citroen;c3;2016;91142;82;petrol;manual;19900
kia;ceed;2015;169987;100;petrol;manual;32700
bmw;seria-3;2017;162324;190;diesel;automatic;57900
opel;astra;2009;150000;90;petrol;manual;6900
seat;leon;2019;188000;130;petrol;manual;44500
audi;a6-avant;2009;300000;240;diesel;automatic;28900
bmw;5gt;2012;259000;313;diesel;automatic;49000
skoda;kamiq;2024;29900;110;petrol;automatic;87900
audi;q5;2016;300000;190;diesel;automatic;55800
seat;leon;2014;213736;105;diesel;manual;26900
audi;a3-sportback;2014;289000;150;diesel;automatic;40900
audi;q3;2015;219000;150;diesel;automatic;48900
nissan;x-trail;2020;169412;160;petrol;automatic;73900
opel;corsa;2016;164289;70;petrol;manual;25900
bmw;x6;2016;181000;258;diesel;automatic;119500
mercedes-benz;klasa-c;2012;156000;129;petrol;manual;11900
kia;sportage;2015;154342;115;diesel;manual;45700
fiat;500;2012;111703;70;petrol;manual;25900
skoda;kamiq;2025;10224;115;petrol;automatic;109900
ford;tourneo-connect;2025;21000;122;diesel;automatic;164500
opel;corsa;2011;109574;95;diesel;manual;16500
volkswagen;caddy;2009;206272;104;diesel;manual;13999
ford;fiesta;2017;149000;85;petrol;manual;28900
renault;twingo;2009;107600;75;petrol;automatic;11400
fiat;500;2020;73917;69;petrol;automatic;43500
volkswagen;scirocco;2014;157375;140;diesel;manual;36900
volkswagen;multivan;2018;230321;150;diesel;automatic;159900
nissan;qashqai;2020;132000;140;petrol;automatic;68900
renault;talisman;2018;215000;160;diesel;automatic;55500
bmw;x3;2008;318000;286;diesel;automatic;25000
bmw;seria-4;2018;70723;326;petrol;automatic;79999
audi;a6-limousine;2020;173118;204;diesel;automatic;114900
cupra;ateca;2023;33000;301;petrol;automatic;135900
hyundai;santa-fe;2006;272000;150;diesel;automatic;16500
renault;megane;2006;172000;110;petrol;manual;6900
fiat;talento;2021;46719;120;diesel;manual;71500
mercedes-benz;klasa-b;2006;241800;109;diesel;manual;9300
volkswagen;golf-plus;2009;286000;122;petrol;manual;11500
audi;a6-avant;2024;34900;204;hybrid;automatic;149900
toyota;hilux;2021;175708;150;diesel;manual;119900
skoda;kodiaq;2018;84260;180;petrol;automatic;37900
opel;astra;2015;192000;110;diesel;manual;29700
kia;sportage;2018;124000;132;petrol;manual;62900
bmw;x1;2011;305177;177;diesel;manual;33000
renault;espace;2015;229810;160;diesel;automatic;47500
mazda;6;2018;66500;192;petrol;automatic;88500
chrysler;pacifica;2017;163733;260;petrol;automatic;74000
volkswagen;passat;2018;169000;150;diesel;automatic;64900
opel;corsa;2023;52500;100;petrol;manual;56500
peugeot;308;2022;77754;110;petrol;manual;57900
volkswagen;passat;2015;330000;149;diesel;automatic;42900
bmw;seria-3;2022;98300;190;diesel;automatic;102900
fiat;500;2019;44900;69;petrol;automatic;52500
audi;a5-cabrio;2009;150600;180;petrol;automatic;42900
bmw;seria-4;2024;13595;245;petrol;automatic;159900
kia;stinger;2018;192000;366;petrol;automatic;74900
fiat;500;2008;115000;69;petrol;manual;15900
renault;twingo;2008;140000;58;petrol;manual;5500
volkswagen;passat-variant;2022;106001;150;diesel;automatic;99900
peugeot;508;2020;144700;130;diesel;automatic;67777
ford;focus;2020;159300;155;petrol;manual;43050
skoda;superb;2023;205000;200;diesel;automatic;100900
peugeot;208;2020;160000;102;diesel;manual;20000
audi;a4-avant;2023;78000;204;diesel;automatic;47000
skoda;octavia;2018;187000;150;petrol;automatic;52900
kia;ceed;2019;48000;120;petrol;manual;39900
volkswagen;golf;2005;225151;75;petrol;manual;7900
mercedes-benz;klasa-e;2010;132132;387;petrol;automatic;103000
hyundai;kona;2021;39220;120;petrol;manual;74900
skoda;superb;2019;263666;150;petrol;automatic;13900
nissan;qashqai;2012;198000;116;petrol;manual;30000
suzuki;swift;2013;144000;94;petrol;manual;18000
bmw;seria-1;2004;399000;163;diesel;manual;10000
ford;c-max;2011;258000;115;diesel;manual;15999
lexus;ct;2012;348307;136;petrol-lpg;automatic;30990
audi;a6-limousine;2011;272000;177;diesel;automatic;39900
citroen;c4;2012;135000;120;petrol;manual;19900
opel;crossland-x;2020;40000;130;petrol;manual;42900
cupra;cupra-leon-st;2023;21782;150;petrol;automatic;119900
mini;john-cooper-works;2020;41500;306;petrol;automatic;144999
audi;q5;2013;210000;177;diesel;automatic;58900
volvo;s40;2009;286603;109;diesel;manual;14500
kia;ceed;2010;235000;90;diesel;manual;10000
mazda;mx-5;2001;159000;139;petrol;automatic;19600
kia;ceed;2022;131000;160;petrol;manual;73900
skoda;octavia;2019;225000;115;diesel;manual;43800
nissan;juke;2010;105103;117;petrol;manual;29900
kia;sportage;2021;110619;177;petrol;automatic;74900
volkswagen;tiguan;2022;67439;150;petrol;automatic;132900
hyundai;kona;2019;65778;120;petrol;manual;48800
opel;vivaro;2007;400000;145;diesel;manual;31900
volvo;xc-60;2017;130000;245;petrol;automatic;77000
kia;sportage;2018;213658;115;diesel;manual;48900
chevrolet;camaro;2011;27200;304;petrol;automatic;68000
audi;a5-cabrio;2018;167910;252;petrol;automatic;34900
alfa-romeo;159;2010;208000;150;diesel;manual;14900
toyota;yaris;2012;396000;69;petrol;manual;10800
honda;civic;2016;232592;120;diesel;manual;32000
citroen;c3;2013;177925;92;diesel;manual;8500
nissan;navara;2018;93000;163;diesel;manual;92900
volkswagen;tiguan;2015;196200;140;diesel;manual;44900
audi;q5;2021;122000;265;petrol;automatic;127900
alfa-romeo;giulia;2020;109000;280;petrol;automatic;103900
peugeot;2008;2017;108000;82;petrol;manual;13800
mazda;3;2006;234408;109;diesel;manual;6900
kia;ceed;2010;215300;116;diesel;manual;13000
bmw;seria-3;2022;67000;292;plugin-hybrid;automatic;141000
opel;astra;2009;220000;115;petrol;manual;12500
volvo;v60;2020;157000;150;diesel;automatic;80900
peugeot;308;2021;200000;130;diesel;manual;34900
bmw;x3;2018;164000;190;diesel;automatic;135000
dacia;sandero;2013;70733;90;petrol;manual;22900
mercedes-benz;klasa-c;2004;265193;143;petrol;manual;6000
peugeot;508;2016;156500;150;diesel;manual;32900
audi;a5-coupe;2022;32198;150;petrol;automatic;139850
jeep;cherokee;2018;136500;272;petrol-lpg;automatic;72900
opel;astra;2017;103000;150;petrol;manual;42900
ford;kuga;2022;117237;190;hybrid;automatic;94900
mercedes-benz;klasa-s;2010;450000;235;diesel;automatic;38000
land-rover;range-rover-evoque;2022;78500;163;diesel;automatic;119500
kia;sportage;2015;130132;135;petrol;manual;47900
honda;civic;2016;96000;142;petrol;manual;54900
opel;mokka;2021;38000;100;petrol;manual;66900
volkswagen;tiguan;2008;156000;140;diesel;manual;27300
kia;rio;2014;180127;85;petrol;manual;14900
audi;q3;2019;115000;190;diesel;automatic;99000
volvo;xc-40;2022;62045;262;plugin-hybrid;automatic;159900
land-rover;discovery-sport;2022;49000;204;diesel;automatic;134500
volvo;xc-60;2014;199886;136;diesel;manual;40900
mazda;3;2023;29000;150;petrol;manual;88000
mazda;3;2016;139000;120;petrol;manual;44900
ford;grand-tourneo-connect;2025;17000;150;plugin-hybrid;automatic;166542
peugeot;206;2009;204158;75;petrol;manual;5500
volvo;xc-70;2014;366000;215;diesel;automatic;50000
ford;s-max;2012;270000;163;diesel;automatic;22900
audi;a4-limousine;2017;171550;252;petrol;automatic;59999
opel;crossland;2024;22000;130;petrol;automatic;75000
toyota;rav4;2021;74846;177;hybrid;automatic;141900
toyota;proace-verso;2022;86046;177;diesel;automatic;149950
toyota;bz4x;2022;35000;217;electric;automatic;119000
hyundai;i20;2013;175327;85;petrol;manual;18900
volkswagen;passat;2011;310000;140;diesel;automatic;22000
mazda;6;2018;134000;184;diesel;automatic;74900
nissan;leaf;2013;120000;109;electric;automatic;16900
honda;cr-v;2016;115000;155;petrol;automatic;79900
toyota;gr-yaris;2020;24500;261;petrol;manual;131500
citroen;c4-cactus;2017;128914;110;petrol;manual;30900
bmw;3gt;2016;241000;190;diesel;automatic;56900
toyota;rav4;2021;103620;218;hybrid;automatic;109900
skoda;octavia;2022;65291;150;petrol;manual;76900
opel;astra;2011;139000;115;petrol;manual;24500
honda;civic;2006;138537;83;petrol;manual;13900
audi;a6-avant;2014;189000;177;diesel;automatic;57900
skoda;octavia;2021;181400;150;diesel;automatic;59900
kia;optima;2012;99600;165;petrol;manual;38900
bmw;x4;2015;253000;313;diesel;automatic;62900
audi;a5-coupe;2018;128000;252;petrol;automatic;94900
audi;a6-avant;2023;51630;204;diesel;automatic;194900
bmw;seria-2;2016;150000;150;diesel;automatic;14900
mercedes-benz;klasa-c;2001;129000;163;petrol;automatic;12999
opel;crossland-x;2019;71000;110;petrol;automatic;39900
kia;sorento;2018;396000;185;diesel;automatic;55900
skoda;superb;2022;128000;200;diesel;automatic;104900
renault;symbioz;2025;26400;160;hybrid;automatic;114900
skoda;scala;2022;47800;150;petrol;manual;43900
citroen;c5;2013;206700;140;diesel;manual;22900
bmw;seria-5;2005;417650;218;diesel;automatic;24500
volkswagen;touran;2003;218500;102;petrol;manual;11200
toyota;rav4;2017;70841;152;petrol;manual;79900
chevrolet;cruze;2013;209256;140;petrol;manual;20500
ford;focus;2011;177000;95;diesel;manual;16950
toyota;proace;2018;121000;115;diesel;manual;62199
porsche;panamera;2014;147000;300;diesel;automatic;119900
bmw;seria-5;2019;140620;190;diesel;automatic;89900
citroen;c5-aircross;2019;94000;130;diesel;manual;57900
audi;a3-sportback;2008;314000;105;diesel;manual;14500
honda;cr-v;2017;203721;160;diesel;automatic;67900
bmw;x3;2012;167000;258;petrol-lpg;automatic;52990
hyundai;tucson;2021;114463;150;petrol;manual;87900
maxus;euniq-5;2022;35807;177;electric;automatic;125900
ford;c-max;2017;60000;102;petrol;manual;29900
mercedes-benz;klasa-s;2017;270000;340;diesel;automatic;140000
volkswagen;golf;2008;196500;80;petrol;manual;15000
opel;insignia;2010;205000;140;petrol-lpg;manual;24500
toyota;verso;2014;235000;112;diesel;manual;24500
ford;f150;2020;158117;395;petrol;automatic;64900
kia;stonic;2017;113259;84;petrol;manual;44000
mercedes-benz;klasa-c;2017;137000;184;petrol;automatic;82000
volvo;s60;2018;51000;152;petrol;automatic;71000
jeep;grand-cherokee;2016;240000;250;diesel;automatic;65000
bmw;seria-5;2020;205160;190;diesel;automatic;79900
renault;captur;2021;105850;160;plugin-hybrid;automatic;68700
mercedes-benz;klasa-a;2025;11832;163;petrol;automatic;139900
peugeot;407;2007;263752;204;diesel;automatic;6999
volkswagen;passat;2016;167052;180;petrol;automatic;63700
jeep;renegade;2017;161355;110;petrol-lpg;manual;48777
ford;focus;2010;193000;115;diesel;manual;7700
kia;sportage;2022;42500;150;petrol;automatic;99999
seat;leon-sportstourer;2016;186459;150;petrol;manual;46900
peugeot;208;2018;158000;83;petrol;manual;21900
ford;focus-sw;2024;80000;125;petrol;automatic;37900
opel;meriva;2015;180900;101;petrol;manual;25900
mini;countryman;2017;116000;150;diesel;automatic;59900
volvo;xc-60;2023;62375;197;petrol;automatic;179900
land-rover;discovery-sport;2022;35000;309;plugin-hybrid;automatic;164999
lexus;ls;2000;99000;281;petrol;automatic;84000
lexus;rx;2016;146000;238;petrol;automatic;115000
bmw;seria-5;2015;253130;190;diesel;automatic;66500
seat;leon;2016;211111;184;diesel;automatic;48500
volkswagen;tiguan;2023;83244;150;diesel;automatic;117882
opel;astra;2018;150000;125;petrol;manual;44900
kia;stonic;2020;117001;120;petrol;manual;54900
renault;koleos;2008;223000;150;diesel;manual;11000
bmw;seria-1;2015;166000;116;diesel;automatic;44000
skoda;kodiaq;2025;8040;150;petrol;automatic;159900
honda;accord;2011;283730;150;diesel;manual;29900
jeep;compass;2019;194615;170;petrol;automatic;57687
mercedes-benz;cla;2017;109000;381;petrol;automatic;29900
nissan;qashqai;2007;150000;141;petrol;manual;17990
peugeot;3008;2021;110562;131;diesel;manual;98387
mercedes-benz;ml;2008;399000;224;diesel;automatic;10900
volkswagen;tiguan;2010;292000;140;diesel;automatic;29700
volkswagen;golf;2012;222910;105;diesel;manual;17900
alfa-romeo;stelvio;2022;43085;200;petrol;automatic;164900
volvo;xc-60;2018;121650;150;diesel;manual;97900
citroen;c5;2008;326000;136;diesel;manual;14500
seat;leon;2009;270310;105;diesel;manual;16900
volvo;v40;2015;228400;122;petrol;manual;33999
renault;talisman;2019;180000;159;petrol;automatic;46000
volkswagen;amarok;2020;171653;258;diesel;automatic;130000
dacia;duster;2019;50606;130;petrol;manual;40000
alfa-romeo;mito;2009;90000;78;petrol;manual;11900
peugeot;207;2007;189590;120;petrol;manual;6800
toyota;rav4;2017;60000;152;petrol;automatic;95000
bmw;seria-1;2005;145500;129;petrol;automatic;16500
fiat;ducato;2021;120000;180;diesel;manual;99000
audi;q5;2017;138000;190;diesel;automatic;89800
peugeot;2008;2017;129634;110;petrol;automatic;36900
kia;ceed;2007;213000;122;petrol;manual;10800
skoda;yeti;2010;260735;160;petrol;manual;17400
ford;focus;2020;181230;150;diesel;automatic;62900
audi;q7;2020;350000;286;diesel;automatic;111900
audi;a6-avant;2005;286316;180;diesel;manual;14500
audi;a5-sportback;2019;66171;190;petrol;automatic;113553
opel;meriva;2009;203841;90;petrol;manual;8500
kia;sportage;2024;55030;150;petrol;manual;89900
skoda;octavia;2022;112225;150;diesel;automatic;78900
nissan;qashqai;2019;94500;140;petrol;manual;59999
volkswagen;arteon;2023;63674;200;diesel;automatic;155900
jeep;compass;2012;245000;163;diesel;manual;19900
dacia;sandero-stepway;2017;119000;90;petrol;manual;31600
renault;megane;2016;153000;100;petrol;manual;26800
volkswagen;tiguan;2021;198000;150;diesel;automatic;87900
fiat;freemont;2015;257000;170;diesel;automatic;34900
renault;clio;2023;14128;145;hybrid;automatic;74900
opel;corsa;2011;203668;87;petrol;manual;10700
volvo;xc-40;2021;124650;163;petrol;automatic;89900
mercedes-benz;klasa-a;2022;24700;163;petrol;automatic;109900
mg;zs;2023;68300;111;petrol;automatic;59900
dacia;sandero-stepway;2019;66000;90;petrol;manual;35900
bmw;i3;2017;144000;170;electric;automatic;53900
citroen;c4-grand-picasso;2017;175000;130;petrol;manual;17900
volkswagen;golf-plus;2007;201000;102;petrol;manual;10900
suzuki;swift;2012;289000;75;diesel;manual;14900
jeep;renegade;2015;152567;140;diesel;manual;45900
kia;ceed;2019;172000;140;petrol;automatic;47900
volkswagen;caddy;2005;200394;69;diesel;manual;12900
skoda;superb;2009;323955;115;diesel;manual;15500
volvo;v60;2015;187000;150;diesel;automatic;43900
skoda;superb;2017;138400;190;diesel;automatic;75000
dacia;duster;2018;118000;114;petrol;manual;49900
volkswagen;cc;2016;90000;150;petrol;manual;13999
seat;ibiza;2025;10200;80;petrol;manual;42900
audi;a4-limousine;2007;327000;170;diesel;manual;11999
seat;leon;2014;215044;140;petrol;manual;33900
opel;mokka-x;2017;143383;140;petrol-lpg;manual;47900
mercedes-benz;klasa-a;2025;20367;163;petrol;automatic;139900
skoda;scala;2022;161000;110;petrol;manual;55000
seat;leon;2024;19829;150;petrol;automatic;112900
hyundai;kona;2018;200000;120;petrol-lpg;manual;49000
bmw;seria-3;2008;174000;218;petrol;manual;27500
kia;sportage;2024;61290;150;petrol;manual;89900
kia;rio;2011;143000;85;petrol;manual;19900
citroen;c4-cactus;2015;143000;99;diesel;manual;25900
opel;mokka;2014;140000;140;petrol;manual;35999
ford;puma;2021;78000;125;hybrid;manual;56499
jeep;wrangler;2018;75000;285;petrol;automatic;122900
lexus;nx;2021;78332;197;hybrid;automatic;119900
hyundai;tucson;2016;169000;140;diesel;automatic;62499
ford;s-max;2016;142000;160;petrol;manual;44499
peugeot;208;2016;182500;82;petrol;manual;23900
mercedes-benz;ml;2004;250000;250;diesel;automatic;8500
audi;a4-avant;2011;260000;143;diesel;manual;22000
skoda;fabia;2018;165111;75;petrol;manual;28500
honda;jazz;2019;40000;102;petrol;automatic;54900
renault;megane;2017;131000;131;petrol;automatic;47999
dodge;challenger;2016;132000;309;petrol;automatic;64999
hyundai;tucson;2021;65890;150;petrol;automatic;104900
volvo;v40;2014;256453;150;diesel;automatic;34900
renault;twingo;2016;108000;71;petrol;manual;19900
land-rover;range-rover-evoque;2014;138000;240;petrol;automatic;49800
nissan;micra;2022;61828;92;petrol;manual;49900
mercedes-benz;glc;2017;210000;320;hybrid;automatic;89900
bmw;seria-3;2007;252301;170;petrol;manual;19900
toyota;gr-yaris;2022;14142;261;petrol;manual;139900
maxus;et90;2023;63122;179;electric;automatic;86900
ds-automobiles;ds-4;2016;152800;211;petrol;manual;37000
smart;fortwo;2019;49000;90;petrol;automatic;59900
peugeot;3008;2021;50000;130;diesel;automatic;95997
audi;a7;2018;180000;286;diesel;automatic;129900
toyota;corolla;2022;39000;122;hybrid;automatic;33900
volkswagen;t-cross;2022;52655;150;petrol;automatic;85900
bmw;seria-3;2011;199700;143;petrol;automatic;24900
volkswagen;golf;2020;97901;90;petrol;manual;56900
volvo;v50;2012;350000;115;diesel;manual;20000
hummer;h2;2003;284000;325;petrol;automatic;50000
opel;astra;2013;119000;120;petrol;manual;33900
ford;galaxy;2011;355000;140;diesel;manual;19500
ssangyong;musso;2023;41350;202;diesel;automatic;107900
opel;meriva;2006;129400;90;petrol;manual;6800
toyota;corolla;2023;36412;140;hybrid;automatic;106899
opel;grandland-x;2019;99870;130;petrol;automatic;17501
mercedes-benz;cla;2025;11334;163;petrol;automatic;179900
renault;trafic;2024;17200;150;diesel;automatic;178965
ford;focus;2023;25104;125;petrol;manual;74900
hyundai;tucson;2021;109000;230;hybrid;automatic;102900
kia;ceed;2024;20100;140;petrol;automatic;109900
kia;xceed;2020;74384;115;diesel;manual;71999
skoda;octavia;2022;110478;150;diesel;automatic;84889
kia;sportage;2014;148000;135;petrol;manual;44200
audi;a4-limousine;2018;106666;252;petrol;automatic;74900
renault;megane;2020;57000;115;petrol;manual;49900
renault;koleos;2012;237900;150;diesel;manual;24999
opel;astra;2020;131210;130;petrol;manual;31900
mini;cooper;2007;180000;120;petrol;manual;5500
kia;ceed;2022;75000;160;petrol;manual;67900
bmw;seria-3;2013;168055;143;diesel;automatic;44000
maxus;et90;2023;33336;180;electric;automatic;137900
audi;a6-avant;2015;200123;150;diesel;automatic;59900
mazda;cx-60;2022;31004;191;plugin-hybrid;automatic;199900
kia;rio;2022;106674;84;petrol;manual;43900
skoda;superb;2024;19972;150;petrol;automatic;129900
opel;corsa;2015;120700;100;petrol;manual;25800
toyota;prius;2017;240000;122;hybrid;automatic;53500
bmw;x4;2021;73849;184;petrol;automatic;152700
citroen;c4;2005;204050;110;diesel;manual;7700
jaguar;e-pace;2020;59000;200;petrol;automatic;95900
opel;zafira;2014;153000;110;diesel;manual;20900
audi;q5;2022;46000;204;diesel;automatic;139900
mercedes-benz;klasa-b;2015;294223;109;diesel;manual;32000
mini;one;2017;55000;102;petrol;manual;31900
suzuki;wagon-r;2003;188000;76;petrol;manual;6900
volvo;v50;2005;321200;125;petrol;manual;8900
volkswagen;arteon;2021;44362;200;diesel;automatic;154900
bmw;x3;2005;307800;150;diesel;manual;17500
mercedes-benz;klasa-b;2013;252000;136;diesel;automatic;32500
audi;a4-limousine;2023;54380;150;petrol;automatic;98900
fiat;croma;2010;240000;150;diesel;automatic;12900
mini;countryman;2017;99000;192;petrol;automatic;75900
toyota;c-hr;2017;132000;122;hybrid;automatic;34500
volvo;s90;2019;122467;235;diesel;automatic;122434
opel;corsa;2008;215387;80;petrol;manual;7500
bmw;seria-3;2017;195000;252;petrol;automatic;79600
renault;captur;2017;49995;118;petrol;automatic;45000
kia;stonic;2019;61000;120;petrol;automatic;51500
suzuki;kizashi;2010;243000;178;petrol;manual;30000
bmw;seria-3;2023;42315;190;diesel;automatic;179700
mitsubishi;space-star;2019;54900;71;petrol;manual;24999
peugeot;207;2007;90000;120;petrol;automatic;9000
ford;kuga;2016;138000;150;petrol;manual;44900
mercedes-benz;klasa-a;2025;20767;163;petrol;automatic;139900
peugeot;2008;2021;152474;110;diesel;manual;59999
volkswagen;passat;2018;212000;150;diesel;automatic;49000
opel;astra;2021;145000;130;petrol;manual;45800
hyundai;i30;2024;35700;160;petrol;automatic;82900
mitsubishi;outlander;2010;215000;156;diesel;automatic;28900
mercedes-benz;klasa-c;2009;325000;170;diesel;automatic;16999
volvo;xc-60;2024;56261;197;diesel;automatic;189900
mazda;cx-30;2024;16000;186;petrol;automatic;96000
mercedes-benz;cls;2012;75000;408;petrol;automatic;119900
mazda;6;2014;179425;165;petrol;manual;45900
skoda;karoq;2021;72289;150;petrol;automatic;94900
citroen;c3-picasso;2017;51519;110;petrol;manual;24900
skoda;kamiq;2023;21553;150;petrol;automatic;105558
bmw;x2;2018;104300;190;diesel;automatic;77777
peugeot;206-plus;2010;68301;75;petrol;manual;6500
volkswagen;polo;2007;225000;80;petrol-lpg;manual;9500
nissan;leaf;2020;63000;150;electric;automatic;56900
suzuki;swift;2023;27500;83;petrol;manual;58900
citroen;ds5;2013;231623;200;hybrid;automatic;16500
ford;fiesta;2010;132000;68;diesel;manual;17500
ford;c-max;2013;186000;125;petrol;manual;18500
audi;a4-limousine;2022;139912;163;diesel;automatic;119900
renault;clio;2020;143718;100;petrol-lpg;manual;38800
volkswagen;tiguan;2018;87000;150;petrol;automatic;73000
opel;corsa;2014;180000;100;petrol-lpg;manual;19000
toyota;yaris;2020;56900;92;hybrid;automatic;65000
skoda;octavia;2010;282000;105;diesel;automatic;15000
bmw;seria-3;2019;150000;190;diesel;automatic;99600
kia;picanto;2011;132216;69;petrol;manual;13900
opel;astra;2012;125000;90;diesel;manual;19900
mazda;cx-5;2015;255000;165;petrol;manual;45800
opel;insignia;2019;150000;136;diesel;manual;47800
lexus;lbx;2025;9734;136;hybrid;automatic;147900
audi;a6-limousine;2023;100130;204;diesel;automatic;147900
volkswagen;taigo;2024;9870;116;petrol;automatic;93900
