make;model;year;mileage;engine_power;fuel_type;gearbox;price
mazda;3;2019;68858;180;petrol;manual;64800
volvo;s80;2003;347109;185;diesel;manual;8000
mazda;6;2008;228523;120;petrol-lpg;manual;5499
hyundai;i20;2017;86334;84;petrol;manual;37500
subaru;legacy;2009;246000;150;diesel;manual;9500
suzuki;swift;2017;28352;90;petrol;manual;38490
volkswagen;polo;2008;204000;80;petrol-lpg;manual;5900
toyota;avensis;2008;248000;126;diesel;manual;8500
nissan;qashqai;2023;26797;158;petrol;automatic;99999
peugeot;308;2019;118319;130;diesel;manual;35998
ford;s-max;2011;233914;163;diesel;manual;35999
volvo;s60;2004;227705;163;diesel;automatic;19900
fiat;500;2012;103800;69;petrol;manual;21700
opel;crossland-x;2018;83000;110;petrol;automatic;35000
cupra;ateca;2023;40653;300;petrol;automatic;134900
skoda;octavia;2018;100068;150;petrol;manual;54998
volkswagen;t-roc;2024;6050;150;petrol;automatic;67000
cupra;cupra-formentor;2021;64970;150;petrol;automatic;104998
skoda;octavia;2022;88129;150;petrol;manual;72998
renault;trafic;2017;104395;145;diesel;manual;69802
citroen;c3;2019;112000;83;petrol;manual;25500
opel;insignia;2012;132000;140;petrol;manual;24900
bmw;seria-3;2000;198000;193;petrol;automatic;34900
audi;q3;2022;22146;245;petrol;automatic;55000
audi;a8;2023;31277;340;petrol;automatic;125000
peugeot;5008;2017;116467;165;petrol;automatic;64000
bmw;x1;2011;229701;204;diesel;automatic;30000
opel;zafira;2010;280000;110;diesel;manual;12800
fiat;punto;2004;162334;60;petrol;manual;6000
citroen;c4-cactus;2018;73868;110;petrol;automatic;39998
tesla;y;2023;42433;299;electric;automatic;141850
mitsubishi;space-star;2014;116382;80;petrol;manual;12000
fiat;bravo;2008;151000;120;petrol;manual;14500
renault;clio;2014;50539;90;petrol;manual;27999
honda;cr-v;2009;189323;140;diesel;manual;31900
lexus;nx;2020;126822;197;hybrid;automatic;107500
mercedes-benz;klasa-e;2015;248966;170;diesel;automatic;39999
peugeot;3008;2022;101000;130;diesel;manual;33900
skoda;superb;2021;139602;200;diesel;automatic;92997
mitsubishi;outlander;2015;216000;150;diesel;automatic;43900
